Sector;Sampling_site;Latitude;Longitude;Salinity;River_Width;Human_Structures;Uarrecta;Conductivity;Secchi(cm);Temp;abt.tot;rich.tot;prev.tot;inten.tot;Abd.Prs;Rich.prst;Prev.prst;Int.prst;Fish.rich;Fish.;Fish.infect;Fish.ecto;Fish.endo;Form
1;1;-25.76441601;-48.55505699;0;6.3;0;0;53.1;100;19.1;589;21;0.909090909;19.63333333;352;11;1.178571429;12.57142857;4;33;31;28;21;Ecto
1;2;-25.759899;-48.55173198;0;11.3;0;0;67.6;115;19.1;589;21;0.909090909;19.63333333;352;11;1.178571429;12.57142857;4;33;31;28;21;Ecto
1;3;-25.75598197;-48.54947599;0;18.6;0;0;41.6;145;19.4;589;21;0.909090909;19.63333333;352;11;1.178571429;12.57142857;4;33;31;28;21;Ecto
1;4;-25.742109;-48.54671096;0;6.85;0;0;38.7;91;19.4;589;21;0.909090909;19.63333333;352;11;1.178571429;12.57142857;4;33;31;28;21;Ecto
1;5;-25.72649997;-48.55553702;0;10.2;0;0;37.8;128;19.8;589;21;0.909090909;19.63333333;352;11;1.178571429;12.57142857;4;33;31;28;21;Ecto
2;6;-25.69845202;-48.52832098;0;19.5;0.066;1;59.7;80;21.3;1576;22;0.80952381;46.35294118;1332;9;1.826086957;57.91304348;5;42;34;23;27;Ecto
2;7;-25.69651899;-48.52341397;0;22.4;0.084;1;60.5;100;21.3;1576;22;0.80952381;46.35294118;1332;9;1.826086957;57.91304348;5;42;34;23;27;Ecto
2;8;-25.69951301;-48.51574101;0;24.6;0.195;1;69;85;21.4;1576;22;0.80952381;46.35294118;1332;9;1.826086957;57.91304348;5;42;34;23;27;Ecto
2;9;-25.68864402;-48.49625601;0;17.2;0.457;1;144;73;23.2;1576;22;0.80952381;46.35294118;1332;9;1.826086957;57.91304348;5;42;34;23;27;Ecto
2;10;-25.68769603;-48.51809104;0;45.5;0.183;1;79.2;103;20.5;1576;22;0.80952381;46.35294118;1332;9;1.826086957;57.91304348;5;42;34;23;27;Ecto
3;11;-25.66259298;-48.51607502;0;9.8;0.22;1;84.1;89;20.9;1664;29;0.947368421;46.22222222;1482;20;1.1875;46.3125;7;38;35;32;18;Ecto
3;12;-25.65226497;-48.50117996;0;54.9;0.034;1;80.8;96;21.2;1664;29;0.947368421;46.22222222;1482;20;1.1875;46.3125;7;38;35;32;18;Ecto
3;13;-25.64009302;-48.49866003;0;53.3;0.037;1;107.7;95;22.2;1664;29;0.947368421;46.22222222;1482;20;1.1875;46.3125;7;38;35;32;18;Ecto
