;LOC;Fish.sp;COD;N.IND;Cod.ind;Grupo.parasito;Gen.parasito;Eppt.parasito;Species;ABD;LAT;LONG
1;4;Bairdiella.ronchus;G;180;G180;Acanthocephala;Acanthochepala;sp3;Acanthochepala.sp3;7;-25.61238889;-48.49030556
2;4;Bairdiella.ronchus;G;181;G181;Acanthocephala;Acanthochepala;sp3;Acanthochepala.sp3;6;-25.61238889;-48.49030556
3;4;Bairdiella.ronchus;G;182;G182;Acanthocephala;Acanthochepala;sp3;Acanthochepala.sp3;1;-25.61238889;-48.49030556
4;4;Bairdiella.ronchus;G;184;G184;Acanthocephala;Acanthochepala;sp3;Acanthochepala.sp3;1;-25.61238889;-48.49030556
5;4;Centropomus.parallelus;I;1;I1;Digenea;Acanthocollaritrema;umbilicatum;Acanthocollaritrema.umbilicatum;2;-25.61238889;-48.49030556
261;4;Centropomus.parallelus;G;119;G119;Digenea;Acanthocollaritrema;umbilicatum;Acanthocollaritrema.umbilicatum;2;-25.61238889;-48.49030556
6;4;Rhamdia.quelen;I;19;I19;Digenea;Acanthostomum;gnerii;Acanthostomum.gnerii;1;-25.61238889;-48.49030556
7;2;Rhamdia.quelen;I;38;I38;Digenea;Acanthostomum;gnerii;Acanthostomum.gnerii;12;-25.6985;-48.52830556
8;3;Centropomus.parallelus;G;105;G105;Copepoda;Acusicola;sp;Acusicola.sp;4;-25.65230556;-48.50119444
9;3;Centropomus.parallelus;G;108;G108;Copepoda;Acusicola;sp;Acusicola.sp;2;-25.65230556;-48.50119444
10;4;Centropomus.parallelus;G;118;G118;Copepoda;Acusicola;sp;Acusicola.sp;11;-25.61238889;-48.49030556
11;4;Centropomus.parallelus;G;119;G119;Copepoda;Acusicola;sp;Acusicola.sp;54;-25.61238889;-48.49030556
12;4;Centropomus.parallelus;I;1;I1;Copepoda;Acusicola;sp;Acusicola.sp;25;-25.61238889;-48.49030556
13;4;Centropomus.parallelus;I;23;I23;Copepoda;Acusicola;sp;Acusicola.sp;10;-25.61238889;-48.49030556
14;4;Bairdiella.ronchus;G;184;G184;Copepoda;Acusicola;sp1;Acusicola.sp1;1;-25.61238889;-48.49030556
16;3;Centropomus.parallelus;G;105;G105;Monogenea;Anakohnia;brasiliana;Anakohnia.brasiliana;1;-25.65230556;-48.50119444
17;4;Centropomus.parallelus;I;22;I22;Monogenea;Anakohnia;brasiliana;Anakohnia.brasiliana;2;-25.61238889;-48.49030556
27;2;Rhamdia.quelen;G;2;G2;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;32;-25.6985;-48.52830556
28;2;Rhamdia.quelen;G;14;G14;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;393;-25.6985;-48.52830556
29;3;Rhamdia.quelen;G;63;G63;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;295;-25.65230556;-48.50119444
30;3;Rhamdia.quelen;G;64;G64;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;190;-25.65230556;-48.50119444
31;3;Rhamdia.quelen;G;66;G66;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;40;-25.65230556;-48.50119444
32;1;Rhamdia.quelen;G;92;G92;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;6;-25.75988889;-48.55169444
33;1;Rhamdia.quelen;G;95;G95;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;37;-25.75988889;-48.55169444
34;3;Rhamdia.quelen;G;96;G96;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;59;-25.65230556;-48.50119444
35;3;Rhamdia.quelen;G;99;G99;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;128;-25.65230556;-48.50119444
36;1;Rhamdia.quelen;G;126;G126;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;7;-25.75988889;-48.55169444
37;3;Oligosarcus.hepsetus;G;191;G191;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;1;-25.65230556;-48.50119444
38;3;Rhamdia.quelen;G;196;G196;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;1;-25.65230556;-48.50119444
39;2;Rhamdia.quelen;G;200;G200;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;313;-25.6985;-48.52830556
40;2;Rhamdia.quelen;G;201;G201;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;252;-25.6985;-48.52830556
41;1;Rhamdia.quelen;I;10;I10;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;8;-25.75988889;-48.55169444
42;4;Rhamdia.quelen;I;19;I19;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;17;-25.61238889;-48.49030556
43;2;Rhamdia.quelen;I;38;I38;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;6;-25.6985;-48.52830556
44;2;Rhamdia.quelen;I;38;I38;Monogenea;Aphanoblastella;mastigatus;Aphanoblastella.mastigatus;2;-25.6985;-48.52830556
45;1;Rhamdia.quelen;G;122;G122;Monogenea;Aphanoblastella;sp;Aphanoblastella.sp;5;-25.75988889;-48.55169444
46;4;Eugerres.brasilianus;G;34;G34;Monogenea;Aristocleidus;sp;Aristocleidus.sp;9;-25.61238889;-48.49030556
47;3;Bairdiella.ronchus;G;109;G109;Cestoda;Blastocyst;;Blastocyst;1;-25.6985;-48.52830556
48;3;Oligosarcus.hepsetus;G;191;G191;Monogenea;Characithecium;sp;Characithecium.sp;4;-25.65230556;-48.50119444
49;3;Oligosarcus.hepsetus;G;193;G193;Monogenea;Characithecium;sp;Characithecium.sp;6;-25.65230556;-48.50119444
50;1;Oligosarcus.hepsetus;G;222;G222;Monogenea;Characithecium;sp1;Characithecium.sp1;5;-25.75988889;-48.55169444
51;1;Oligosarcus.hepsetus;G;245;G245;Monogenea;Characithecium;sp1;Characithecium.sp1;4;-25.75988889;-48.55169444
52;1;Oligosarcus.hepsetus;G;246;G246;Monogenea;Characithecium;sp1;Characithecium.sp1;2;-25.75988889;-48.55169444
53;3;Oligosarcus.hepsetus;G;191;G191;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;21;-25.65230556;-48.50119444
54;3;Oligosarcus.hepsetus;G;193;G193;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;8;-25.65230556;-48.50119444
55;1;Oligosarcus.hepsetus;G;222;G222;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;7;-25.75988889;-48.55169444
56;1;Oligosarcus.hepsetus;G;223;G223;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;6;-25.75988889;-48.55169444
57;1;Oligosarcus.hepsetus;G;245;G245;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;7;-25.75988889;-48.55169444
58;1;Oligosarcus.hepsetus;G;246;G246;Monogenea;Characithecium;longianchoratum;Characithecium.longianchoratum;5;-25.75988889;-48.55169444
59;4;Genidens.genidens;G;25;G25;Monogenea;Chauhanellus;sp;Chauhanellus.sp;1;-25.61238889;-48.49030556
60;4;Genidens.genidens;G;27;G27;Monogenea;Chauhanellus;sp;Chauhanellus.sp;1;-25.61238889;-48.49030556
61;4;Genidens.genidens;G;30;G30;Monogenea;Chauhanellus;sp;Chauhanellus.sp;1;-25.61238889;-48.49030556
62;3;Genidens.barbus;G;79;G79;Monogenea;Chauhanellus;sp;Chauhanellus.sp;21;-25.65230556;-48.50119444
63;4;Genidens.genidens;G;158;G158;Monogenea;Chauhanellus;boegeri;Chauhanellus.boegeri;1;-25.61238889;-48.49030556
64;4;Genidens.genidens;G;30;G30;Monogenea;Chauhanellus;neotropicalis;Chauhanellus.neotropicalis;1;-25.61238889;-48.49030556
65;4;Genidens.genidens;G;31;G31;Monogenea;Chauhanellus;neotropicalis;Chauhanellus.neotropicalis;1;-25.61238889;-48.49030556
66;3;Genidens.barbus;G;79;G79;Monogenea;Chauhanellus;neotropicalis;Chauhanellus.neotropicalis;21;-25.65230556;-48.50119444
67;2;Hoplias.malabaricus;G;3;G3;Nematoda;Contracaecum;sp;Contracaecum.sp;2;-25.6985;-48.52830556
68;2;Hoplias.malabaricus;G;7;G7;Nematoda;Contracaecum;sp;Contracaecum.sp;4;-25.6985;-48.52830556
69;2;Hoplias.malabaricus;G;8;G8;Nematoda;Contracaecum;sp;Contracaecum.sp;2;-25.6985;-48.52830556
70;2;Hoplias.malabaricus;G;13;G13;Nematoda;Contracaecum;sp;Contracaecum.sp;3;-25.6985;-48.52830556
71;2;Gymnotus.carapo;G;15;G15;Nematoda;Contracaecum;sp;Contracaecum.sp;1;-25.6985;-48.52830556
72;4;Hoplias.malabaricus;G;17;G17;Nematoda;Contracaecum;sp;Contracaecum.sp;2;-25.61238889;-48.49030556
73;3;Hoplias.malabaricus;G;65;G65;Nematoda;Contracaecum;sp;Contracaecum.sp;6;-25.65230556;-48.50119444
74;3;Hoplias.malabaricus;G;73;G73;Nematoda;Contracaecum;sp;Contracaecum.sp;1;-25.65230556;-48.50119444
75;1;Hoplias.malabaricus;G;88;G88;Nematoda;Contracaecum;sp;Contracaecum.sp;3;-25.75988889;-48.55169444
76;1;Hoplias.malabaricus;G;90;G90;Nematoda;Contracaecum;sp;Contracaecum.sp;1;-25.75988889;-48.55169444
