Group;Family;Species;ABD;Dev.stage;Habitat;Transmition.mode;FinalHost;Life.Cycle;Parasitism.form;Organ
Acanthocephala;Acanthochepala.fam;Acanthochepala.sp3;15;adult;Marine;trophic;NA;Multiple.host;Endoparasite;intestine
Digenea;Cryptogonimidae;Acanthocollaritrema.umbilicatum;2;adult;brackish;trophic;fish;Multiple.host;Endoparasite;intestine
Digenea;Cryptogonimidae;Acanthostomum.gnerii;2;adult;Freshwater;trophic;fish;Multiple.host;Endoparasite;intestine
Copepoda;Ergasilidae;Acusicola.sp;106;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Copepoda;Ergasilidae;Acusicola.sp1;1;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Microcotylidae;Anakohnia.brasiliana;3;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Aphanoblastella.mastigatus;1787;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Aphanoblastella.sp;5;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Aristocleidus.sp;9;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Cestoda;Blastocyst;Blastocyst;1;intermediary;Freshwater;trophic;NA;Multiple.host;Endoparasite;intestine
Monogenea;Dactylogyridae;Characithecium.sp;10;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Characithecium.sp1;11;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Characithecium.longianchoratum;54;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Dactylogyridae;Chauhanellus.sp;24;adult;Freshwater;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Ancylodiscoididae;Chauhanellus.boegeri;1;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Monogenea;Ancylodiscoididae;Chauhanellus.neotropicalis;23;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Nematoda;Anisakidae;Contracaecum.sp;49;intermediary;brackish.terrestrial;trophic;bird.mammal;Multiple.host;Endoparasite;mesentery
Digenea;Apocreadiidae;Crassicutis.sp;17;adult;brackish;trophic;fish;Multiple.host;Endoparasite;intestine
Digenea;Cryptogonimidae;Cryptogonimidae.sp;5;adult;Freshwater;trophic;fish;Multiple.host;Endoparasite;intestine
Digenea;Cryptogonimidae;Cryptogonimidae.sp1;1;adult;Freshwater;trophic;fish;Multiple.host;Endoparasite;intestine
Nematoda;Cucullanidae;Cucullanus.sp1;2;adult;brackish;trophic;fish;Multiple.host;Endoparasite;intestine
Nematoda;Cucullanidae;Cucullanus.sp2;3;adult;brackish;trophic;fish;Multiple.host;Endoparasite;intestine
Nematoda;Cystidicolidae;Cystidicoloides.izecksohni;9;adult;marine;trophic;fish;Multiple.host;Endoparasite;intestine
Digenea;Digenea.fam;Digenea.gen.;88;intermediary;Freshwater;trophic;NA;Multiple.host;Endoparasite;gills
Monogenea;Diplectanidae;Diplectanum.sp;4;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
Digenea;Diplostomidae;Diplostomidae;510;intermediary;Freshwater;trophic;bird;Multiple.host;Endoparasite;eyes
Acanthocephala;Echinorhynchida.fam;Echinorhynchida.sp;1;adult;Marine;trophic;fish;Multiple.host;Endoparasite;intestine
Copepoda;Ergasilidae;Ergasilus.atafonensis;17;adult;brackish;contact;fish;Single.host;Ectoparasite;gills
